,host_response_rate,beds,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
14848,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.88,4.95,4.93,4.86,4.88,5.0,4.71,2.9
14849,1.0,2.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,4.8,4.8,4.95,4.93,4.98,4.63,4.78,2.62
14850,1.0,1.0,1.0,1.0,365.0,365.0,1.0,365.0,4.8,4.67,4.33,4.9,4.9,4.67,4.8,0.2
14851,0.96,1.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,4.81,4.94,4.84,4.94,4.9,4.81,4.74,2.12
14852,0.9,1.0,1.6,1.9,1125.0,1125.0,1.8,1125.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14853,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.94,5.0,4.94,4.94,5.0,4.94,4.94,1.38
14854,0.9,1.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.33,4.9,4.8,4.67,4.67,5.0,4.8,0.24
14855,1.0,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.8,4.85,4.91,4.96,4.98,4.8,4.74,3.2
14856,1.0,1.6,1.6,4.0,1125.0,1125.0,4.0,1125.0,4.96,4.92,4.92,5.0,5.0,4.81,4.85,2.25
14857,1.0,2.0,3.0,3.0,365.0,365.0,3.0,365.0,4.71,4.79,4.5,4.64,4.93,4.79,4.57,0.94
14858,0.9,2.0,2.0,2.0,150.0,150.0,2.0,150.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.07
14859,1.0,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,5.0,4.96,5.0,4.96,5.0,5.0,4.96,1.63
14860,1.0,1.0,1.6,1.9,28.0,28.0,1.8,28.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14861,0.96,2.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,4.92,4.92,5.0,4.85,4.85,4.77,5.0,0.95
14862,1.0,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,0.21
14863,0.98,1.0,1.0,1.0,365.0,365.0,1.0,365.0,4.5,4.9,4.53,4.68,4.59,4.62,4.5,2.31
14864,0.9,1.0,1.6,4.0,60.0,60.0,4.0,60.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.15
14865,1.0,1.0,3.0,1.9,1125.0,1125.0,1.8,1125.0,4.74,4.71,4.68,4.82,4.94,4.97,4.74,2.24
14866,1.0,3.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.97,4.97,4.97,5.0,4.97,4.89,4.97,3.37
14867,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.85,4.89,4.88,4.9,4.96,4.94,4.74,1.4
14868,1.0,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.83,4.92,4.94,5.0,4.94,4.9,4.69,3.24
14869,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.64,4.75,4.89,4.71,4.79,4.82,4.61,1.85
14870,1.0,1.0,3.0,4.0,1125.0,1125.0,3.3,1125.0,4.93,4.97,4.86,4.9,5.0,4.83,4.86,1.98
14871,1.0,1.6,1.0,4.0,1125.0,1125.0,1.5,1125.0,4.54,4.73,4.65,4.62,4.5,4.92,4.65,1.79
14872,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.88,4.98,4.94,4.86,4.98,4.98,4.88,4.43
14873,1.0,1.0,1.6,5.0,90.0,90.0,5.0,90.0,4.75,4.75,5.0,4.75,4.75,4.75,4.75,0.29
